Food Produced,Food Eaten,Current Food,run_id
0.0,60.0,340,1
0.0,60.0,280,1
0.0,60.0,220,1
0.0,60.0,160,1
0.0,60.0,100,1
0.0,60.0,40,1
0.0,29.4,10,1
0.0,29.4,0,1
0.0,18.15,0,1
0.0,12.15,0,1
0.0,7.35,0,1
0.0,5.4,0,1
0.0,3.75,0,1
0.0,2.4000000000000004,0,1
0.0,1.35,0,1
0.0,0.6000000000000001,0,1
0.0,0.15,0,1
0.0,60.0,340,2
0.0,60.0,280,2
100.0,60.0,320,2
100.0,60.0,360,2
100.0,60.0,400,2
70.0,60.0,410,2
109.0,60.0,459,2
92.0,60.0,491,2
126.35000000000002,79.35000000000001,538,2
143.39999999999998,173.4,508,2
194.4,173.4,529,2
279.0,558.1500000000001,279,2
397.0,558.1500000000001,397,2
605.0,1297.35,605,2
917.0,2856.6000000000004,917,2
841.0,3375.0,841,2
841.0,3375.0,841,2
841.0,3375.0,841,2
841.0,3375.0,841,2
810.0,2343.75,810,2
810.0,2343.75,810,2
810.0,2343.75,810,2
810.0,2343.75,810,2
810.0,2343.75,810,2
810.0,2343.75,810,2
810.0,2343.75,810,2
527.0,984.15,527,2
527.0,984.15,527,2
527.0,984.15,527,2
527.0,984.15,527,2
527.0,984.15,527,2
527.0,984.15,527,2
527.0,984.15,527,2
527.0,984.15,527,2
527.0,984.15,527,2
527.0,984.15,527,2
527.0,984.15,527,2
527.0,984.15,527,2
527.0,984.15,527,2
345.35,421.35,451,2
345.35,421.35,375,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
345.0,421.35,345,2
312.0,345.6,312,2
312.0,345.6,312,2
312.0,345.6,312,2
312.0,345.6,312,2
312.0,345.6,312,2
